id,user_id,total
6688d855-c317-4964-9cef-2722756e859b,a143ec31-23ec-42a4-9a8c-2cc55459e400,1079724576
54a7afb6-1041-484a-9315-331a0fe1e476,013cb296-c498-4cdb-b4df-d0eb52177bc1,79826213
00a300aa-fdce-4f48-95e8-33eda58ce3fc,2c1514de-1398-4d26-a9b4-fb76a2d210e5,1623145421
db5d2e7a-9539-4773-9018-a2cc75a339fe,86d826ec-ab01-401c-8c82-79234155171a,1079724576
c8bb2c87-5ba1-421d-a72b-eb2110df4354,b7ca235a-2c0d-4ddc-9498-e3c1b9ab0300,1231675873
8f65b987-c749-4b00-9ba4-cf0fb497ce49,b6445579-505d-40ff-90e0-9332ff78ccd8,317773959
bdfd7051-ea47-4350-a62c-02602a577d64,2ce5a7e5-da2c-439b-a726-1dd634eb8d63,513096314
51e63002-64c6-40ac-9730-8702fc7819dc,17db6416-3447-4764-a4dc-8c25f8f3d61c,565365128
8d9f2860-8ace-45b8-8912-9a7b9e2e41d9,39ead885-d1c1-499b-99d5-5a46bed997d5,1893925636
d62ce3ba-aa36-4b0e-a463-d202ac47024e,00642b52-77af-4ca8-a117-1ebd1bd42c83,1954051060
984a3190-4f27-40d6-9be2-3bb928cc0e59,8fa97ba3-5f41-4655-a877-ce543d4e75dc,565365128
b3bc6f33-1db9-4895-899c-770762619b0d,82f118b6-9f76-482c-8cb1-81a9ec2e5ac3,1893925636
b77d0636-0cee-4d76-bfaa-c5a12ce0960a,78550d88-bc43-42dc-9eda-aa629defa14a,1231675873
632109a3-73f5-4c3e-b589-88dedc3b515f,6adf3027-1c7d-4894-ae64-86297ebe950a,79826213
6f1db4d1-4b2d-4856-aeea-dc67e9aaebb0,17db6416-3447-4764-a4dc-8c25f8f3d61c,1893925636
d2787cfd-fd31-4eb9-8309-1ab071483ab9,bc51b144-2fe5-4322-aa81-65bea7e2dc73,1954051060
4206e272-5c51-45ca-884b-36118fd14091,b848fba0-e22c-435d-9842-5761783d7ee0,1079724576
31ffede9-4c19-4097-8bfc-ce29c0740ed2,b0813a0a-391c-4238-adea-9fbede223c9c,1623145421
