id,order_id,item_id,quantity
e44052f2-a10e-4e0c-a31d-dfc2ce73d32c,717102c0-10b5-4d79-8c60-ee0f9c907d17,77e67413-34eb-44f2-8d9a-88339b74cbc8,467632135
cb32e917-a35e-46f7-bcc0-f3c50c542833,f6eb9ae4-202b-4184-98ec-61c6fc73b84b,3f03cb22-837b-4568-bc96-1fbd1f28054a,266039504
f528ce26-d3be-48b7-8f93-2ecf8ad32cc6,16f84d62-d3fd-42c0-9172-aa42b21a6536,8f12f8a4-f7fc-44b4-a803-a76a8a14a3f8,1323479922
37aad485-d95d-49a5-8a25-a33dd9b4c2e1,ca5c294d-1511-40ae-886d-4cc8ea44933c,b6d8ae5e-ad1a-446d-abbc-b832bd4f9976,2105102724
2e6bb474-954c-4e24-a48c-247ca02f4771,0b31b280-91b4-48b5-b242-940b7125fe77,2234594d-795e-4892-b281-e988e9bed620,210315134
a1b80559-3ae1-4f3d-bf0c-d30c0c60b444,20933600-b4fe-4840-b205-cae9c1998d47,eae9b31e-c751-42ab-94e1-4e79b63b0266,570240239
0c948177-e470-4476-a3c0-bb46f0d8dc7c,9f1b4c5a-03a5-46f5-a4c0-9d3cb6e4ec3c,4439ef5a-e74a-4616-a415-a540560284a9,1715948383
8b05198c-2186-42cf-b392-a15a6de1fec1,70fdbe0c-f46a-4dff-b52a-2d1f5d3efcb2,b940de48-810a-48d5-a7ab-57a09d4efe78,715114437
56104b80-5288-4bcc-8400-9f51d9399be6,797ef7d4-7aba-44e7-9a1f-b81d58ff841c,ecf9b9f3-2b76-40da-85e8-f8f92948a00c,1995385168
69ef3b12-5ba3-4f71-a0eb-b05b163ac296,ac4ee2fe-edfa-41b0-ac12-1d69f07d91e9,48b41663-85ec-4ea6-bfc9-8ac9020da77b,816870732
800f4fa3-cd65-48a6-b899-275b5da5d0bd,ff52e655-6d0a-4192-aaa6-228bcf98b931,b83a65d5-6b38-4ced-9668-7486bc4d6939,134468694
904eb891-9a91-43ed-8563-b65494d6de59,c2977631-9d1f-4b6d-94ce-09ffa176c8ea,99ddb49f-6007-4127-adfc-8dddbd962c18,724043606
a4a22888-229d-4342-9334-20bbfddd1333,c5c8360c-a247-448f-863b-fa399aed2da0,2748b45a-ef9a-45bb-97b7-803d7b6eca16,458566610
f5ec00b5-533d-412c-b44a-51d301d4ba39,5d261e6f-3e4c-460e-b248-47455c7f1db7,9050c4e9-5c71-411b-a3c3-8514f1cf87d5,1358715077
4673bbbc-068e-434a-b1fa-e2fae783acf6,c1cb7d03-8ef1-46e8-9d53-bd8d9b92ed0d,779bc2a1-f87b-4933-a4fd-3d246fefa55f,1355242981
6641979b-ff25-4372-971b-c831c3bdb44c,06a2c5cc-98e6-4416-ab65-5286dad2bcee,319e0401-a288-419e-8987-ca3a6668f43c,1156959340
ddca60b2-1f51-4ecc-a46d-77ba5421f41a,6148b971-4ecc-4f74-8c82-b782d6c81f79,6fee20e2-d458-4fa0-82ec-d376932f5631,87542082
da067b2b-ac72-4140-a8bc-7c6ab52b5b4e,95d1f7b9-2ca3-4f4b-889a-09cbe98d18f7,cf333271-a01d-4e05-af13-764f94b5db0e,2110999384
47223257-eae0-419f-a6df-d4c20de47baf,c12b27d5-b3c6-42f8-8bb9-64c3de468f26,c0b79116-f464-4a9d-84ce-dbd0cb61eb44,324676240
d386ad27-85e4-4a18-a0f2-02fff2787852,85971e66-bd43-4c7f-a539-d95a8c94fb81,caff7df6-4185-4c7f-a502-9362b8d58fdc,1635003882
cd52584e-8167-4c89-8db3-9d26cefb1926,5285b9e3-77bb-4e7c-b531-dae760c0f8b5,35c59fa7-f060-4a11-9595-10c005bbf1c2,1877306389
639aa249-59b1-40cb-ad61-2eea6bcf31d4,73ffbd58-d07f-4ae2-a242-beb4d09f840c,1534e2d2-518d-4688-aa45-17bf7f4d963d,299920842
e0574854-a324-4d20-9457-dfd476d5c738,a22d9a5e-71ec-4f76-a5bd-d5c18d4c0009,5d403f05-7995-42ee-ba7a-2c5c05b8d8e4,1552676141
eee2ea28-dd0d-4285-a502-c3c3a6533f39,1c543cb8-d332-4802-b374-b189b5a79aac,3ae039e2-5c50-4677-b173-99b1c26644e1,1536545025
b47a1119-fb44-49fa-a2aa-0e2f86bed57b,3d77e7e4-8360-4e33-9999-a1585b324932,98e5281c-a42a-4539-9b53-39841792557a,1234381792
531951ee-e3aa-4996-b24c-1d48a1e3a47c,9365a374-0d6a-4234-98aa-ac0be72aa71b,815f40ed-7c4b-4791-a39e-bf21d9e2d50b,1954632513
7a9f0e5a-87f1-412c-93ee-80f080fb77ea,f9368be3-cafd-4969-916b-424cfd766fc0,309b4c00-e4fc-4062-b946-2c4a830b0f05,1098175904
5967be98-cca7-4d34-a706-27005bf0d54d,db8bae90-9f09-4166-b40a-37d788d9d536,7c0047a0-5c00-401d-bb7f-af07f524e418,11961570
d93b20e8-5d94-43ef-a8e6-1d5918279840,4a48cd41-15e7-4fe9-a7d3-6ad46572a900,c4036853-05f3-4452-9327-b968e0a3d34f,1966972827
53632436-0cc6-4375-8582-c31f24014260,c868b2ea-4ef0-4d61-9d43-8984ed02af02,bad1e4d1-d36a-4aca-9148-62f3dc80a0f7,8154435
d78e802b-6552-4142-9fa2-43d82265c4ac,cfb0bcde-d4db-4e5b-b9d3-cf394f7b2408,d9f7f6f1-35b3-4521-aa3d-2788eba54b8b,1462840986
fd8f38a0-77e4-4515-8e78-a34499805f81,69710d5e-eb82-4538-9c57-8d0f96a4a278,605e0b72-4edf-4099-8926-9205dca06996,757584064
b5fc45be-d0b8-4310-859d-1529b540342a,c30c9383-2f31-45b9-b752-36c5a21cae3e,cdb94358-3347-4d1a-ba74-a44b75835578,1550102964
eaebb9c4-5d1e-4a65-85fe-9500772fecfe,324d35ae-f58f-44b0-b92d-8685a3e4dd5c,abfb42fc-a21a-46ed-b104-c3577ae00648,1122744439
77e56091-3dbd-4821-911d-584f658dbff0,34ec1ce6-2175-4612-a4a9-bef9fd7eee2f,0b17e7d7-e473-4291-98aa-2155b5f89aa8,752278327
c535ca54-891b-4f42-b993-b187e7a33c02,be3110d5-00b6-4da4-b847-b0373ee8e542,bc6c01ff-5de5-44cf-9dad-b3f51235d669,330856344
37af3564-9132-4ef1-9791-7d1241e344e5,377a839a-98e1-4a42-8db3-963613db97ec,ba496466-619c-4afd-ba29-607102d87ef2,398045095
1639f9de-fc65-4448-9d70-1b244ae60edd,3d68c957-dbc3-47a6-abb3-dfcf1fab8138,c941c062-d867-4677-947c-7e424fb569b9,1161171536
40b8c722-454d-4fe5-b8a8-352a89b3ca8d,979c5682-b71b-430b-8488-8f7b124dc5df,f6379967-982e-4595-ad23-b4ee22b79542,1219138392
725597b2-99ee-445b-b5d3-e7a913376bac,d2615fbe-2d88-4c57-89c8-99173884ec17,ce407e93-d474-4079-9c06-b1da6bfdc2fd,852298717
